lon,lat,lab_km
110.1735,-44.9376,56.36
110.4233,-44.9376,56.26
110.6731,-44.9376,56.11
110.9230,-44.9376,55.94
111.1728,-44.9376,55.84
111.4226,-44.9376,55.74
111.6724,-44.9376,55.64
111.9223,-44.9376,55.55
112.1721,-44.9376,55.48
112.4219,-44.9376,55.48
112.6718,-44.9376,55.58
112.9216,-44.9376,55.91
113.1714,-44.9376,56.88
113.4212,-44.9376,58.05
113.6711,-44.9376,59.27
113.9209,-44.9376,60.45
114.1707,-44.9376,61.54
114.4205,-44.9376,62.46
114.6704,-44.9376,63.14
114.9202,-44.9376,63.46
115.1700,-44.9376,63.08
115.4198,-44.9376,62.35
115.6697,-44.9376,61.39
115.9195,-44.9376,60.27
116.1693,-44.9376,59.07
116.4192,-44.9376,57.85
116.6690,-44.9376,56.70
116.9188,-44.9376,55.77
117.1686,-44.9376,55.45
117.4185,-44.9376,55.38
117.6683,-44.9376,55.41
117.9181,-44.9376,55.48
118.1679,-44.9376,55.58
118.4178,-44.9376,55.66
118.6676,-44.9376,55.71
118.9174,-44.9376,55.74
119.1672,-44.9376,55.80
119.4171,-44.9376,55.83
119.6669,-44.9376,55.83
119.9167,-44.9376,55.81
120.1666,-44.9376,55.77
120.4164,-44.9376,55.73
120.6662,-44.9376,55.69
120.9160,-44.9376,55.66
121.1659,-44.9376,55.65
121.4157,-44.9376,55.65
121.6655,-44.9376,55.64
121.9153,-44.9376,55.63
122.1652,-44.9376,55.60
122.4150,-44.9376,55.54
122.6648,-44.9376,55.48
122.9146,-44.9376,55.46
123.1645,-44.9376,55.72
123.4143,-44.9376,55.99
123.6641,-44.9376,56.20
123.9139,-44.9376,56.30
124.1638,-44.9376,56.29
124.4136,-44.9376,56.15
124.6634,-44.9376,55.90
124.9133,-44.9376,55.57
125.1631,-44.9376,55.27
125.4129,-44.9376,54.92
125.6627,-44.9376,54.53
125.9126,-44.9376,54.13
126.1624,-44.9376,53.73
126.4122,-44.9376,53.40
126.6620,-44.9376,53.18
126.9119,-44.9376,53.17
127.1617,-44.9376,53.63
127.4115,-44.9376,54.30
127.6613,-44.9376,55.08
127.9112,-44.9376,55.92
128.1610,-44.9376,56.78
128.4108,-44.9376,57.63
128.6607,-44.9376,58.44
128.9105,-44.9376,59.20
129.1603,-44.9376,59.95
129.4101,-44.9376,60.63
129.6600,-44.9376,61.22
129.9098,-44.9376,61.72
130.1596,-44.9376,62.14
130.4094,-44.9376,62.49
130.6593,-44.9376,62.77
130.9091,-44.9376,63.00
131.1589,-44.9376,63.18
131.4087,-44.9376,63.33
131.6586,-44.9376,63.46
131.9084,-44.9376,63.59
132.1582,-44.9376,63.73
132.4080,-44.9376,63.89
132.6579,-44.9376,64.08
132.9077,-44.9376,64.32
133.1575,-44.9376,64.67
133.4074,-44.9376,65.07
133.6572,-44.9376,65.49
133.9070,-44.9376,65.92
134.1568,-44.9376,66.34
134.4067,-44.9376,66.73
134.6565,-44.9376,67.07
134.9063,-44.9376,67.34
135.1561,-44.9376,67.43
135.4060,-44.9376,67.46
135.6558,-44.9376,67.46
135.9056,-44.9376,67.47
136.1554,-44.9376,67.51
136.4053,-44.9376,67.63
136.6551,-44.9376,67.87
136.9049,-44.9376,68.28
137.1548,-44.9376,69.07
137.4046,-44.9376,70.05
137.6544,-44.9376,71.15
137.9042,-44.9376,72.34
138.1541,-44.9376,73.57
138.4039,-44.9376,74.80
138.6537,-44.9376,75.95
138.9035,-44.9376,76.87
139.1534,-44.9376,77.10
139.4032,-44.9376,77.08
139.6530,-44.9376,76.95
139.9028,-44.9376,76.78
140.1527,-44.9376,76.59
140.4025,-44.9376,76.45
140.6523,-44.9376,76.40
140.9022,-44.9376,76.55
141.1520,-44.9376,77.33
141.4018,-44.9376,78.21
141.6516,-44.9376,79.00
141.9015,-44.9376,79.54
142.1513,-44.9376,79.74
142.4011,-44.9376,79.51
142.6509,-44.9376,78.79
142.9008,-44.9376,77.61
143.1506,-44.9376,76.10
143.4004,-44.9376,74.20
143.6502,-44.9376,71.97
143.9001,-44.9376,69.53
144.1499,-44.9376,67.03
144.3997,-44.9376,64.59
144.6495,-44.9376,62.36
144.8994,-44.9376,60.40
145.1492,-44.9376,58.59
145.3990,-44.9376,57.27
145.6489,-44.9376,56.58
145.8987,-44.9376,56.61
146.1485,-44.9376,57.43
146.3983,-44.9376,59.08
146.6482,-44.9376,61.60
146.8980,-44.9376,65.04
147.1478,-44.9376,69.40
147.3976,-44.9376,74.70
147.6475,-44.9376,80.94
147.8973,-44.9376,88.04
148.1471,-44.9376,95.87
148.3969,-44.9376,104.14
148.6468,-44.9376,112.27
148.8966,-44.9376,119.02
149.1464,-44.9376,120.23
149.3963,-44.9376,119.84
149.6461,-44.9376,118.91
149.8959,-44.9376,117.78
150.1457,-44.9376,116.58
150.3956,-44.9376,115.31
150.6454,-44.9376,113.95
150.8952,-44.9376,112.57
151.1450,-44.9376,111.66
151.3949,-44.9376,110.66
151.6447,-44.9376,109.44
151.8945,-44.9376,108.00
152.1443,-44.9376,106.40
152.3942,-44.9376,104.73
152.6440,-44.9376,103.12
152.8938,-44.9376,101.75
153.1437,-44.9376,101.05
153.3935,-44.9376,100.67
153.6433,-44.9376,100.52
153.8931,-44.9376,100.52
154.1430,-44.9376,100.61
154.3928,-44.9376,100.76
154.6426,-44.9376,100.90
154.8924,-44.9376,100.98
155.1423,-44.9376,100.87
155.3921,-44.9376,100.66
155.6419,-44.9376,100.38
155.8917,-44.9376,100.04
110.1735,-44.6879,57.85
110.4233,-44.6879,57.80
110.6731,-44.6879,57.69
110.9230,-44.6879,57.55
111.1728,-44.6879,57.45
111.4226,-44.6879,57.36
111.6724,-44.6879,57.28
111.9223,-44.6879,57.20
112.1721,-44.6879,57.16
112.4219,-44.6879,57.20
112.6718,-44.6879,57.37
112.9216,-44.6879,57.80
113.1714,-44.6879,58.66
113.4212,-44.6879,59.76
113.6711,-44.6879,60.94
113.9209,-44.6879,62.09
114.1707,-44.6879,63.15
114.4205,-44.6879,64.04
114.6704,-44.6879,64.68
114.9202,-44.6879,64.93
115.1700,-44.6879,64.65
115.4198,-44.6879,64.00
115.6697,-44.6879,63.09
115.9195,-44.6879,62.03
116.1693,-44.6879,60.88
116.4192,-44.6879,59.73
116.6690,-44.6879,58.66
116.9188,-44.6879,57.82
117.1686,-44.6879,57.42
117.4185,-44.6879,57.28
117.6683,-44.6879,57.27
117.9181,-44.6879,57.32
118.1679,-44.6879,57.40
118.4178,-44.6879,57.47
118.6676,-44.6879,57.54
118.9174,-44.6879,57.59
119.1672,-44.6879,57.65
119.4171,-44.6879,57.69
119.6669,-44.6879,57.72
119.9167,-44.6879,57.72
120.1666,-44.6879,57.70
120.4164,-44.6879,57.68
120.6662,-44.6879,57.66
120.9160,-44.6879,57.64
121.1659,-44.6879,57.62
121.4157,-44.6879,57.61
121.6655,-44.6879,57.59
121.9153,-44.6879,57.56
122.1652,-44.6879,57.51
122.4150,-44.6879,57.45
122.6648,-44.6879,57.40
122.9146,-44.6879,57.42
123.1645,-44.6879,57.61
123.4143,-44.6879,57.84
123.6641,-44.6879,58.04
123.9139,-44.6879,58.15
124.1638,-44.6879,58.15
124.4136,-44.6879,58.03
124.6634,-44.6879,57.81
124.9133,-44.6879,57.52
125.1631,-44.6879,57.21
125.4129,-44.6879,56.86
125.6627,-44.6879,56.47
125.9126,-44.6879,56.06
126.1624,-44.6879,55.66
126.4122,-44.6879,55.31
126.6620,-44.6879,55.09
126.9119,-44.6879,55.08
127.1617,-44.6879,55.41
127.4115,-44.6879,55.95
127.6613,-44.6879,56.61
127.9112,-44.6879,57.35
128.1610,-44.6879,58.12
128.4108,-44.6879,58.89
128.6607,-44.6879,59.65
128.9105,-44.6879,60.38
129.1603,-44.6879,61.10
129.4101,-44.6879,61.78
129.6600,-44.6879,62.40
129.9098,-44.6879,62.94
130.1596,-44.6879,63.41
130.4094,-44.6879,63.81
130.6593,-44.6879,64.14
130.9091,-44.6879,64.42
131.1589,-44.6879,64.64
131.4087,-44.6879,64.83
131.6586,-44.6879,64.99
131.9084,-44.6879,65.14
132.1582,-44.6879,65.29
132.4080,-44.6879,65.45
132.6579,-44.6879,65.65
132.9077,-44.6879,65.90
133.1575,-44.6879,66.23
133.4074,-44.6879,66.61
133.6572,-44.6879,67.01
133.9070,-44.6879,67.42
134.1568,-44.6879,67.81
134.4067,-44.6879,68.17
134.6565,-44.6879,68.48
134.9063,-44.6879,68.70
135.1561,-44.6879,68.80
135.4060,-44.6879,68.82
135.6558,-44.6879,68.82
135.9056,-44.6879,68.83
136.1554,-44.6879,68.89
136.4053,-44.6879,69.05
136.6551,-44.6879,69.34
136.9049,-44.6879,69.85
137.1548,-44.6879,70.67
137.4046,-44.6879,71.70
137.6544,-44.6879,72.87
137.9042,-44.6879,74.13
138.1541,-44.6879,75.42
138.4039,-44.6879,76.66
138.6537,-44.6879,77.76
138.9035,-44.6879,78.56
139.1534,-44.6879,78.84
139.4032,-44.6879,78.81
139.6530,-44.6879,78.61
139.9028,-44.6879,78.33
140.1527,-44.6879,78.05
140.4025,-44.6879,77.83
140.6523,-44.6879,77.77
140.9022,-44.6879,77.99
141.1520,-44.6879,78.68
141.4018,-44.6879,79.56
141.6516,-44.6879,80.41
141.9015,-44.6879,81.07
142.1513,-44.6879,81.41
142.4011,-44.6879,81.30
142.6509,-44.6879,80.70
142.9008,-44.6879,79.60
143.1506,-44.6879,78.06
143.4004,-44.6879,76.09
143.6502,-44.6879,73.77
143.9001,-44.6879,71.22
144.1499,-44.6879,68.60
144.3997,-44.6879,66.06
144.6495,-44.6879,63.73
144.8994,-44.6879,61.68
145.1492,-44.6879,59.93
145.3990,-44.6879,58.69
145.6489,-44.6879,58.08
145.8987,-44.6879,58.19
146.1485,-44.6879,59.08
146.3983,-44.6879,60.78
146.6482,-44.6879,63.33
146.8980,-44.6879,66.74
147.1478,-44.6879,71.03
147.3976,-44.6879,76.19
147.6475,-44.6879,82.22
147.8973,-44.6879,89.03
148.1471,-44.6879,96.47
148.3969,-44.6879,104.20
148.6468,-44.6879,111.54
148.8966,-44.6879,117.22
149.1464,-44.6879,119.30
149.3963,-44.6879,119.51
149.6461,-44.6879,118.93
149.8959,-44.6879,118.04
150.1457,-44.6879,117.00
150.3956,-44.6879,115.86
150.6454,-44.6879,114.64
150.8952,-44.6879,113.42
151.1450,-44.6879,112.40
151.3949,-44.6879,111.32
151.6447,-44.6879,110.05
151.8945,-44.6879,108.59
152.1443,-44.6879,106.98
152.3942,-44.6879,105.33
152.6440,-44.6879,103.77
152.8938,-44.6879,102.48
153.1437,-44.6879,101.69
153.3935,-44.6879,101.24
153.6433,-44.6879,101.03
153.8931,-44.6879,100.98
154.1430,-44.6879,101.03
154.3928,-44.6879,101.13
154.6426,-44.6879,101.22
154.8924,-44.6879,101.24
155.1423,-44.6879,101.12
155.3921,-44.6879,100.89
155.6419,-44.6879,100.60
155.8917,-44.6879,100.25
110.1735,-44.4383,59.52
110.4233,-44.4383,59.49
110.6731,-44.4383,59.41
110.9230,-44.4383,59.32
111.1728,-44.4383,59.24
111.4226,-44.4383,59.16
111.6724,-44.4383,59.10
111.9223,-44.4383,59.06
112.1721,-44.4383,59.07
112.4219,-44.4383,59.18
112.6718,-44.4383,59.43
112.9216,-44.4383,59.91
113.1714,-44.4383,60.69
113.4212,-44.4383,61.67
113.6711,-44.4383,62.74
113.9209,-44.4383,63.80
114.1707,-44.4383,64.77
114.4205,-44.4383,65.57
114.6704,-44.4383,66.12
114.9202,-44.4383,66.33
115.1700,-44.4383,66.13
115.4198,-44.4383,65.58
115.6697,-44.4383,64.79
115.9195,-44.4383,63.84
116.1693,-44.4383,62.81
116.4192,-44.4383,61.77
116.6690,-44.4383,60.83
116.9188,-44.4383,60.09
117.1686,-44.4383,59.64
117.4185,-44.4383,59.42
117.6683,-44.4383,59.34
117.9181,-44.4383,59.34
118.1679,-44.4383,59.38
118.4178,-44.4383,59.44
118.6676,-44.4383,59.50
118.9174,-44.4383,59.55
119.1672,-44.4383,59.60
119.4171,-44.4383,59.65
119.6669,-44.4383,59.67
119.9167,-44.4383,59.68
120.1666,-44.4383,59.68
120.4164,-44.4383,59.68
120.6662,-44.4383,59.67
120.9160,-44.4383,59.66
121.1659,-44.4383,59.65
121.4157,-44.4383,59.64
121.6655,-44.4383,59.63
121.9153,-44.4383,59.61
122.1652,-44.4383,59.58
122.4150,-44.4383,59.55
122.6648,-44.4383,59.55
122.9146,-44.4383,59.60
123.1645,-44.4383,59.75
123.4143,-44.4383,59.93
123.6641,-44.4383,60.10
123.9139,-44.4383,60.19
124.1638,-44.4383,60.20
124.4136,-44.4383,60.11
124.6634,-44.4383,59.92
124.9133,-44.4383,59.66
125.1631,-44.4383,59.35
125.4129,-44.4383,58.98
125.6627,-44.4383,58.58
125.9126,-44.4383,58.17
126.1624,-44.4383,57.77
126.4122,-44.4383,57.43
126.6620,-44.4383,57.21
126.9119,-44.4383,57.17
127.1617,-44.4383,57.38
127.4115,-44.4383,57.78
127.6613,-44.4383,58.31
127.9112,-44.4383,58.93
128.1610,-44.4383,59.59
128.4108,-44.4383,60.28
128.6607,-44.4383,60.97
128.9105,-44.4383,61.66
129.1603,-44.4383,62.35
129.4101,-44.4383,63.01
129.6600,-44.4383,63.63
129.9098,-44.4383,64.20
130.1596,-44.4383,64.70
130.4094,-44.4383,65.14
130.6593,-44.4383,65.52
130.9091,-44.4383,65.84
131.1589,-44.4383,66.10
131.4087,-44.4383,66.31
131.6586,-44.4383,66.50
131.9084,-44.4383,66.66
132.1582,-44.4383,66.83
132.4080,-44.4383,67.00
132.6579,-44.4383,67.21
132.9077,-44.4383,67.46
133.1575,-44.4383,67.77
133.4074,-44.4383,68.12
133.6572,-44.4383,68.50
133.9070,-44.4383,68.87
134.1568,-44.4383,69.23
134.4067,-44.4383,69.56
134.6565,-44.4383,69.83
134.9063,-44.4383,70.01
135.1561,-44.4383,70.10
135.4060,-44.4383,70.14
135.6558,-44.4383,70.14
135.9056,-44.4383,70.17
136.1554,-44.4383,70.26
136.4053,-44.4383,70.45
136.6551,-44.4383,70.81
136.9049,-44.4383,71.39
137.1548,-44.4383,72.23
137.4046,-44.4383,73.28
137.6544,-44.4383,74.47
137.9042,-44.4383,75.76
138.1541,-44.4383,77.05
138.4039,-44.4383,78.26
138.6537,-44.4383,79.29
