lon,lat,moho_km
110.25,-44.75,15.07
110.50,-44.75,15.00
110.75,-44.75,14.98
111.00,-44.75,15.03
111.25,-44.75,15.11
111.50,-44.75,15.16
111.75,-44.75,15.15
112.00,-44.75,15.09
112.25,-44.75,15.00
112.50,-44.75,14.94
112.75,-44.75,14.93
113.00,-44.75,14.95
113.25,-44.75,14.95
113.50,-44.75,14.91
113.75,-44.75,14.81
114.00,-44.75,14.69
114.25,-44.75,14.59
114.50,-44.75,14.55
114.75,-44.75,14.57
115.00,-44.75,14.60
115.25,-44.75,14.60
115.50,-44.75,14.57
115.75,-44.75,14.49
116.00,-44.75,14.40
116.25,-44.75,14.30
116.50,-44.75,14.20
116.75,-44.75,14.12
117.00,-44.75,14.05
117.25,-44.75,13.99
117.50,-44.75,13.95
117.75,-44.75,13.91
118.00,-44.75,13.90
118.25,-44.75,13.90
118.50,-44.75,13.92
118.75,-44.75,13.97
119.00,-44.75,14.02
119.25,-44.75,14.05
119.50,-44.75,14.04
119.75,-44.75,13.98
120.00,-44.75,13.89
120.25,-44.75,13.79
120.50,-44.75,13.68
120.75,-44.75,13.59
121.00,-44.75,13.51
121.25,-44.75,13.44
121.50,-44.75,13.36
121.75,-44.75,13.27
122.00,-44.75,13.17
122.25,-44.75,13.06
122.50,-44.75,12.94
122.75,-44.75,12.84
123.00,-44.75,12.76
123.25,-44.75,12.68
123.50,-44.75,12.64
123.75,-44.75,12.66
124.00,-44.75,12.74
124.25,-44.75,12.85
124.50,-44.75,12.97
124.75,-44.75,13.06
125.00,-44.75,13.10
125.25,-44.75,13.08
125.50,-44.75,12.99
125.75,-44.75,12.83
126.00,-44.75,12.64
126.25,-44.75,12.43
126.50,-44.75,12.24
126.75,-44.75,12.05
127.00,-44.75,11.89
127.25,-44.75,11.76
127.50,-44.75,11.66
127.75,-44.75,11.60
128.00,-44.75,11.57
128.25,-44.75,11.55
128.50,-44.75,11.56
128.75,-44.75,11.58
129.00,-44.75,11.60
129.25,-44.75,11.63
129.50,-44.75,11.66
129.75,-44.75,11.69
130.00,-44.75,11.74
130.25,-44.75,11.79
130.50,-44.75,11.83
130.75,-44.75,11.87
131.00,-44.75,11.90
131.25,-44.75,11.91
131.50,-44.75,11.92
131.75,-44.75,11.92
132.00,-44.75,11.93
132.25,-44.75,11.96
132.50,-44.75,11.99
132.75,-44.75,12.02
133.00,-44.75,12.06
133.25,-44.75,12.09
133.50,-44.75,12.13
133.75,-44.75,12.15
134.00,-44.75,12.17
134.25,-44.75,12.18
134.50,-44.75,12.18
134.75,-44.75,12.18
135.00,-44.75,12.18
135.25,-44.75,12.18
135.50,-44.75,12.19
135.75,-44.75,12.20
136.00,-44.75,12.21
136.25,-44.75,12.24
136.50,-44.75,12.28
136.75,-44.75,12.33
137.00,-44.75,12.39
137.25,-44.75,12.46
137.50,-44.75,12.52
137.75,-44.75,12.57
138.00,-44.75,12.59
138.25,-44.75,12.58
138.50,-44.75,12.53
138.75,-44.75,12.46
139.00,-44.75,12.40
139.25,-44.75,12.39
139.50,-44.75,12.40
139.75,-44.75,12.41
140.00,-44.75,12.43
140.25,-44.75,12.44
140.50,-44.75,12.44
140.75,-44.75,12.41
141.00,-44.75,12.36
141.25,-44.75,12.31
141.50,-44.75,12.25
141.75,-44.75,12.18
142.00,-44.75,12.08
142.25,-44.75,11.95
142.50,-44.75,11.79
142.75,-44.75,11.59
143.00,-44.75,11.38
143.25,-44.75,11.18
143.50,-44.75,11.05
143.75,-44.75,11.10
144.00,-44.75,11.45
144.25,-44.75,12.22
144.50,-44.75,13.46
144.75,-44.75,15.00
145.00,-44.75,16.42
145.25,-44.75,17.40
145.50,-44.75,17.98
145.75,-44.75,18.37
146.00,-44.75,18.68
146.25,-44.75,18.96
146.50,-44.75,19.19
146.75,-44.75,19.36
147.00,-44.75,19.36
147.25,-44.75,19.15
147.50,-44.75,18.72
147.75,-44.75,18.11
148.00,-44.75,17.39
148.25,-44.75,16.62
148.50,-44.75,15.84
148.75,-44.75,15.12
149.00,-44.75,14.65
149.25,-44.75,14.57
149.50,-44.75,14.89
149.75,-44.75,15.46
150.00,-44.75,16.08
150.25,-44.75,16.51
150.50,-44.75,16.50
150.75,-44.75,15.97
151.00,-44.75,15.09
151.25,-44.75,14.15
151.50,-44.75,13.42
151.75,-44.75,13.02
152.00,-44.75,12.90
152.25,-44.75,12.89
152.50,-44.75,12.89
152.75,-44.75,12.84
153.00,-44.75,12.77
153.25,-44.75,12.70
153.50,-44.75,12.65
153.75,-44.75,12.62
154.00,-44.75,12.61
154.25,-44.75,12.65
154.50,-44.75,12.72
154.75,-44.75,12.80
155.00,-44.75,12.88
155.25,-44.75,12.92
155.50,-44.75,12.91
155.75,-44.75,12.88
110.25,-44.50,14.95
110.50,-44.50,14.87
110.75,-44.50,14.84
111.00,-44.50,14.89
111.25,-44.50,15.01
111.50,-44.50,15.12
111.75,-44.50,15.16
112.00,-44.50,15.11
112.25,-44.50,15.03
112.50,-44.50,14.96
112.75,-44.50,14.94
113.00,-44.50,14.95
113.25,-44.50,14.95
113.50,-44.50,14.90
113.75,-44.50,14.79
114.00,-44.50,14.67
114.25,-44.50,14.60
114.50,-44.50,14.60
114.75,-44.50,14.65
115.00,-44.50,14.71
115.25,-44.50,14.73
115.50,-44.50,14.69
115.75,-44.50,14.60
116.00,-44.50,14.48
116.25,-44.50,14.36
116.50,-44.50,14.25
116.75,-44.50,14.17
117.00,-44.50,14.13
117.25,-44.50,14.11
117.50,-44.50,14.10
117.75,-44.50,14.08
118.00,-44.50,14.04
118.25,-44.50,14.00
118.50,-44.50,13.98
118.75,-44.50,13.97
119.00,-44.50,13.98
119.25,-44.50,14.00
119.50,-44.50,13.99
119.75,-44.50,13.94
120.00,-44.50,13.87
120.25,-44.50,13.80
120.50,-44.50,13.73
120.75,-44.50,13.66
121.00,-44.50,13.60
121.25,-44.50,13.53
121.50,-44.50,13.44
121.75,-44.50,13.35
122.00,-44.50,13.25
122.25,-44.50,13.15
122.50,-44.50,13.05
122.75,-44.50,12.95
123.00,-44.50,12.86
123.25,-44.50,12.77
123.50,-44.50,12.73
123.75,-44.50,12.73
124.00,-44.50,12.80
124.25,-44.50,12.91
124.50,-44.50,13.02
124.75,-44.50,13.11
125.00,-44.50,13.17
125.25,-44.50,13.18
125.50,-44.50,13.10
125.75,-44.50,12.93
126.00,-44.50,12.71
126.25,-44.50,12.47
126.50,-44.50,12.23
126.75,-44.50,12.02
127.00,-44.50,11.85
127.25,-44.50,11.74
127.50,-44.50,11.67
127.75,-44.50,11.62
128.00,-44.50,11.58
128.25,-44.50,11.55
128.50,-44.50,11.53
128.75,-44.50,11.52
129.00,-44.50,11.52
129.25,-44.50,11.54
129.50,-44.50,11.59
129.75,-44.50,11.66
130.00,-44.50,11.74
130.25,-44.50,11.81
130.50,-44.50,11.87
130.75,-44.50,11.91
131.00,-44.50,11.94
131.25,-44.50,11.95
131.50,-44.50,11.95
131.75,-44.50,11.95
132.00,-44.50,11.95
132.25,-44.50,11.96
132.50,-44.50,11.98
132.75,-44.50,12.01
133.00,-44.50,12.04
133.25,-44.50,12.08
133.50,-44.50,12.12
133.75,-44.50,12.15
134.00,-44.50,12.16
134.25,-44.50,12.17
134.50,-44.50,12.18
134.75,-44.50,12.19
135.00,-44.50,12.19
135.25,-44.50,12.20
135.50,-44.50,12.22
135.75,-44.50,12.23
136.00,-44.50,12.25
136.25,-44.50,12.28
136.50,-44.50,12.31
136.75,-44.50,12.36
137.00,-44.50,12.42
137.25,-44.50,12.48
137.50,-44.50,12.53
137.75,-44.50,12.56
138.00,-44.50,12.55
138.25,-44.50,12.50
138.50,-44.50,12.45
138.75,-44.50,12.42
139.00,-44.50,12.42
139.25,-44.50,12.46
139.50,-44.50,12.50
139.75,-44.50,12.52
140.00,-44.50,12.53
140.25,-44.50,12.55
140.50,-44.50,12.54
140.75,-44.50,12.50
141.00,-44.50,12.43
141.25,-44.50,12.37
141.50,-44.50,12.30
141.75,-44.50,12.22
142.00,-44.50,12.12
142.25,-44.50,11.98
142.50,-44.50,11.80
142.75,-44.50,11.59
143.00,-44.50,11.36
143.25,-44.50,11.17
143.50,-44.50,11.08
143.75,-44.50,11.18
144.00,-44.50,11.53
144.25,-44.50,12.21
144.50,-44.50,13.22
144.75,-44.50,14.49
145.00,-44.50,15.80
145.25,-44.50,16.95
145.50,-44.50,17.97
145.75,-44.50,18.95
