ID,LAT,LON,AZI,TYPE,DEPTH,QUALITY,REGIME
wsm01584,-15.970,117.570,122,BOT,1.05,C,U
wsm01640,-38.520,117.850,120,FMS,25.00,D,TF
wsm01694,-21.299,113.690,0,BOC,1.79,E,U
wsm01695,-38.251,147.854,127,BO,2.64,A,U
wsm01696,-38.374,148.239,80,BO,1.93,B,U
wsm01697,-37.502,139.235,155,BOC,2.20,A,U
wsm01698,-38.555,148.549,135,BOC,2.54,C,U
wsm01699,-19.097,116.136,140,BO,3.03,C,U
wsm01700,-20.215,115.066,139,BO,0.00,A,U
wsm01701,-12.195,124.496,146,BOC,3.95,E,U
wsm02284,-17.260,123.829,48,BOC,2.24,B,U
wsm02285,-18.017,122.608,56,BOC,1.91,A,U
wsm02286,-17.969,122.724,28,BOC,1.59,C,U
wsm02287,-21.740,148.050,1,HFM,0.12,C,TF
wsm02288,-22.920,148.610,29,HFM,0.13,C,TF
wsm02289,-33.173,151.500,5,OC,0.09,D,TF
wsm02290,-34.318,150.880,33,OC,0.43,D,TF
wsm02291,-31.190,121.780,50,HFM,0.60,C,SS
wsm02292,-30.370,116.940,70,HFM,0.06,C,TF
wsm02293,-38.189,147.816,131,BO,2.54,A,U
wsm02294,-27.663,149.458,143,BOC,2.00,C,U
wsm02295,-26.805,149.322,162,BOC,2.51,C,U
wsm02296,-24.227,133.896,4,BOC,2.50,D,U
wsm02297,-22.250,131.080,6,BOC,1.44,B,U
wsm02298,-26.528,125.614,100,BOC,2.18,B,U
wsm02299,-17.758,124.572,40,BOC,2.80,A,U
wsm02300,-38.632,143.143,0,BOC,2.73,E,U
wsm02877,-11.160,118.410,76,FMS,29.00,C,NF
wsm02962,-36.720,148.240,146,FMS,6.00,D,TF
wsm02963,-36.220,149.640,147,FMS,15.00,D,TF
wsm02964,-34.550,150.500,46,FMS,9.00,C,TF
wsm02965,-36.220,148.780,136,FMA,5.00,D,SS
wsm02966,-34.220,147.470,2,FMS,4.00,C,SS
wsm02967,-35.030,149.020,91,FMS,5.00,C,SS
wsm02968,-37.880,144.270,112,FMS,21.00,D,TF
wsm02969,-34.240,150.900,98,FMS,12.00,D,TF
wsm02970,-36.690,148.330,96,FMS,6.00,D,SS
wsm02971,-34.020,147.330,124,FMS,4.00,C,TF
wsm02972,-37.205,146.956,119,FMS,17.00,C,TF
wsm02973,-26.190,132.770,66,FMS,1.50,C,TF
wsm02974,-34.170,150.320,73,FMS,21.00,C,TF
wsm02975,-25.010,136.370,145,FMS,12.00,D,TF
wsm02976,-34.890,149.340,75,FMS,2.00,D,SS
wsm02977,-22.080,126.650,78,FMS,8.00,C,TF
wsm04202,-35.910,150.360,8,OC,0.00,E,TF
wsm04582,-35.680,145.820,77,OC,0.00,E,TS
wsm04583,-42.000,146.800,155,OC,0.00,E,U
wsm04584,-32.660,117.170,79,OC,0.01,E,TS
wsm04585,-32.370,117.200,34,OC,0.01,E,TS
wsm04586,-30.670,117.160,174,OC,0.01,E,TF
